mineral,reliance,primary_source,Country_Classification
Aluminum (bauxite),75%,Jamaica,Ally
Antimony,83%,China,Competitor
Arsenic,100%,China,Competitor
Barite,75%,China,Competitor
Bismuth,96%,China,Competitor
Chromium,83%,South Africa,Ally
Cobalt,76%,Norway,Ally
Fluorspar,100%,Mexico,Ally
Gallium,100%,China,Competitor
Germanium,50%,China,Competitor
Graphite (natural),100%,China,Competitor
Indium,100%,Republic of Korea,Ally
Lithium,25%,Argentina,Ally
Magnesium,50%,Israel,Ally
Manganese,100%,Gabon,Neutral
Nickel,56%,Canada,Ally
Niobium,100%,Brazil,Neutral
Palladium,26%,Russia,Competitor
Platinum,66%,South Africa,Ally
Rare Earths (compounds and metals),95%,China,Competitor
Scandium,100%,Europe,Ally
Tantalum,100%,China,Competitor
Tellerium,75%,Canada,Ally
Tin,77%,Peru,Neutral
Titanium (metal),95%,Japan,Ally
Tungsten,50%,China,Competitor
Vanadium,54%,Canada,Ally
Yttrium,100%,China,Competitor
Zinc,76%,Canada,Ally
Zirconium,50%,South Africa,Ally